Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Ross Dwelley (15584472),Ross Dwelley,15584472,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,2.6
TE,Daniel Helm (15584473),Daniel Helm,15584473,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,0
RB,Jordan Howard (15584474),Jordan Howard,15584474,CPT,300,MIA@SF 10/11/2020 04:05PM ET,MIA,5.02
RB,JaMycal Hasty (15584475),JaMycal Hasty,15584475,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,1.4
RB,Patrick Laird (15584476),Patrick Laird,15584476,CPT,300,MIA@SF 10/11/2020 04:05PM ET,MIA,0.72
TE,Adam Shaheen (15584477),Adam Shaheen,15584477,CPT,300,MIA@SF 10/11/2020 04:05PM ET,MIA,0.35
WR,Lynn Bowden Jr. (15584478),Lynn Bowden Jr.,15584478,CPT,300,MIA@SF 10/11/2020 04:05PM ET,MIA,0.7
TE,Charlie Woerner (15584479),Charlie Woerner,15584479,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Dante Pettis (15584480),Dante Pettis,15584480,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Richie James (15584481),Richie James,15584481,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Mack Hollins (15584482),Mack Hollins,15584482,CPT,300,MIA@SF 10/11/2020 04:05PM ET,MIA,0
WR,Chris Thompson (15584483),Chris Thompson,15584483,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,0
TE,Jordan Reed (15584423),Jordan Reed,15584423,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,10.5
WR,Trent Taylor (15584424),Trent Taylor,15584424,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,2.18
WR,Tavon Austin (15584425),Tavon Austin,15584425,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,0
RB,Tevin Coleman (15584426),Tevin Coleman,15584426,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,4.7
RB,Malcolm Perry (15584427),Malcolm Perry,15584427,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,MIA,0
TE,Ross Dwelley (15584428),Ross Dwelley,15584428,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,2.6
TE,Daniel Helm (15584429),Daniel Helm,15584429,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,0
RB,Jordan Howard (15584430),Jordan Howard,15584430,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,MIA,5.02
RB,JaMycal Hasty (15584431),JaMycal Hasty,15584431,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,1.4
RB,Patrick Laird (15584432),Patrick Laird,15584432,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,MIA,0.72
TE,Adam Shaheen (15584433),Adam Shaheen,15584433,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,MIA,0.35
WR,Lynn Bowden Jr. (15584434),Lynn Bowden Jr.,15584434,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,MIA,0.7
TE,Charlie Woerner (15584435),Charlie Woerner,15584435,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Dante Pettis (15584436),Dante Pettis,15584436,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Richie James (15584437),Richie James,15584437,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Mack Hollins (15584438),Mack Hollins,15584438,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,MIA,0
WR,Chris Thompson (15584439),Chris Thompson,15584439,FLEX,200,MIA@SF 10/11/2020 04:05PM ET,SF,0
