Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Blake Jarwin (15584511),Blake Jarwin,15584511,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,DAL,2.2
WR,Ventell Bryant (15584512),Ventell Bryant,15584512,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
WR,Cody Core (15584513),Cody Core,15584513,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
TE,Levine Toilolo (15584514),Levine Toilolo,15584514,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,0.58
RB,Rico Dowdle (15584515),Rico Dowdle,15584515,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
WR,C.J. Board (15584516),C.J. Board,15584516,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,3.02
WR,Malik Turner (15584517),Malik Turner,15584517,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
WR,David Sills (15584518),David Sills,15584518,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
RB,Elijhaa Penny (15584519),Elijhaa Penny,15584519,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
TE,Sean McKeon (15584520),Sean McKeon,15584520,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
RB,Saquon Barkley (15584521),Saquon Barkley,15584521,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,7.7
TE,Eric Tomlinson (15584522),Eric Tomlinson,15584522,FLEX,200,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
