Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Omar Bayless (15579388),Omar Bayless,15579388,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
WR,Seth Roberts (15579389),Seth Roberts,15579389,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,1.78
WR,Brandon Zylstra (15579390),Brandon Zylstra,15579390,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
TE,Luke Stocker (15579391),Luke Stocker,15579391,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,ATL,0.4
TE,Colin Thompson (15579392),Colin Thompson,15579392,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
RB,Trenton Cannon (15579393),Trenton Cannon,15579393,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
WR,Keith Kirkwood (15579394),Keith Kirkwood,15579394,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
TE,Jaeden Graham (15579395),Jaeden Graham,15579395,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,ATL,0
RB,Alex Armah (15579396),Alex Armah,15579396,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0.68
WR,Pharoh Cooper (15579397),Pharoh Cooper,15579397,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
WR,Brandon Powell (15579398),Brandon Powell,15579398,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,ATL,1.42
WR,Laquon Treadwell (15579399),Laquon Treadwell,15579399,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,ATL,0
