PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Trent Sherfield,WR,SF,1.3,1.58,4700,3000,0,0,0,0.55,7.26,0.05,0,0,0
Trayveon Williams,RB,CIN,1.25,1.51,4600,4000,1.02,3.85,0.02,0.49,4.02,0.02,0,0,0
Dax Milne,WR,WSH,1.35,1.69,4500,3000,0,0,0,0.65,8.08,0.04,0,0,0
Boston Scott,RB,PHI,1.32,1.65,4500,4000,0.64,2.51,0.02,0.61,5.08,0.03,0,0,0
Marcedes Lewis,TE,GB,1.29,1.59,4300,2500,0,0,0,0.6,6.3,0.06,0,0,0
Alec Ingold,RB,LV,1.31,1.64,4600,4000,0.54,1.95,0.02,0.63,5.22,0.03,0,0,0
Tutu Atwell,WR,LA,1.18,1.43,4600,3000,0,0,0,0.47,6.68,0.05,0,0,0
Mike Thomas,WR,CIN,1.25,1.56,4600,3000,0,0,0,0.61,7.21,0.04,0,0,0
Penny Hart,WR,SEA,1.23,1.55,4800,3000,0,0,0,0.63,7.53,0.03,0,0,0
Michael Burton,RB,KC,1.16,1.46,4500,4000,0.5,1.84,0.01,0.58,4.62,0.03,0,0,0
Marcus Kemp,WR,KC,1.13,1.39,4600,3000,0,0,0,0.5,6.56,0.04,0,0,0
Josiah Deguara,TE,GB,1.2,1.51,4200,2500,0,0,0,0.6,5.6,0.06,0,0,0
Noah Gray,TE,KC,1.16,1.44,4100,2500,0,0,0,0.55,5.41,0.06,0,0,0
Geoff Swaim,TE,TEN,1.21,1.5,4300,2500,0,0,0,0.59,5.51,0.06,0,0,0
Blake Bell,TE,KC,1.18,1.45,4200,2500,0,0,0,0.54,5.45,0.06,0,0,0
Tajae Sharpe,WR,ATL,1.15,1.41,5100,3400,0,0,0,0.51,6.56,0.04,0,0,0
Jaelon Darden,WR,TB,1.11,1.37,4500,3000,0,0,0,0.5,6.41,0.04,0,0,0
Miles Boykin,WR,BAL,1.11,1.35,4800,3000,0,0,0,0.48,5.73,0.05,0,0,0
Anthony Schwartz,WR,CLE,1.16,1.43,4800,3000,0,0,0,0.55,6.43,0.04,0,0,0
Cethan Carter,TE,MIA,1.12,1.41,4100,2500,0,0,0,0.57,5.5,0.05,0,0,0
Keith Smith,RB,ATL,1.11,1.4,4500,4000,0.54,1.99,0.02,0.55,4.16,0.02,0,0,0
Mekhi Sargent,RB,TEN,1.09,1.35,4600,4000,0.56,2.11,0.01,0.51,4,0.03,0,0,0
Durham Smythe,TE,MIA,1.11,1.39,4500,2500,0,0,0,0.57,5.2,0.05,0,0,0
Darrell Daniels,TE,ARI,1.05,1.29,4100,2500,0,0,0,0.49,5.02,0.05,0,0,0
Eric Saubert,TE,DEN,1.13,1.45,4200,2500,0,0,0,0.63,5.94,0.04,0,0,0
J.J. Taylor,RB,NE,1.06,1.32,4900,4000,0.58,2.15,0.02,0.5,3.79,0.02,0,0,0
Tommy Hudson,TE,TEN,1.03,1.27,4200,2500,0,0,0,0.48,4.94,0.05,0,0,0
Patrick Ricard,RB,BAL,1.07,1.31,4500,4000,0.63,2.39,0.02,0.46,3.22,0.03,0,0,0
Adam Shaheen,TE,MIA,1.02,1.28,4200,2500,0,0,0,0.5,4.93,0.05,0,0,0
Drew Sample,TE,CIN,1.05,1.35,4100,2500,0,0,0,0.58,5.37,0.04,0,0,0
Christian Blake,WR,ATL,0.97,1.22,5000,3000,0,0,0,0.47,5.75,0.03,0,0,0
Lee Smith,TE,ATL,1.02,1.29,4200,2500,0,0,0,0.54,4.54,0.05,0,0,0
Racey McMath,WR,TEN,0.98,1.21,4500,3000,0,0,0,0.44,5.38,0.04,0,0,0
Greg Ward,WR,PHI,0.98,1.24,4900,3000,0,0,0,0.51,5,0.04,0,0,0
Nick Westbrook-Ikhine,WR,TEN,0.96,1.19,5200,3300,0,0,0,0.43,5.25,0.04,0,0,0
Jack Stoll,TE,PHI,0.96,1.19,4000,2800,0,0,0,0.46,4.94,0.04,0,0,0
Cameron Batson,WR,TEN,0.96,1.19,5000,3000,0,0,0,0.44,5.17,0.04,0,0,0
Artavis Pierce,RB,CHI,0.92,1.15,4600,4000,0.55,1.96,0.01,0.43,3.51,0.02,0,0,0
Amari Rodgers,WR,GB,0.94,1.16,4600,3000,0,0,0,0.43,4.86,0.04,0,0,0
Josh Oliver,TE,BAL,0.93,1.15,4200,2500,0,0,0,0.43,4.17,0.05,0,0,0
Darren Fells,TE,DET,0.9,1.13,4100,2500,0,0,0,0.46,4.92,0.03,0,0,0
Zay Jones,WR,LV,0.89,1.08,4800,3000,0,0,0,0.38,4.56,0.04,0,0,0
Jason Cabinda,RB,DET,0.93,1.18,,4000,0.45,1.63,0.01,0.49,3.6,0.02,0,0,0
Trenton Irwin,WR,CIN,0.85,1.07,4500,3000,0,0,0,0.42,5.35,0.02,0,0,0
Antonio Gandy-Golden,WR,WSH,0.84,1.07,,,0,0,0,0.43,5.27,0.02,0,0,0
Trevon Wesco,TE,NYJ,0.87,1.1,4100,2500,0,0,0,0.46,4.62,0.03,0,0,0
Kaden Smith,TE,NYG,0.85,1.09,4400,2500,0,0,0,0.47,4.51,0.03,0,0,0
Auden Tate,WR,CIN,0.86,1.05,4900,3000,0,0,0,0.39,4.84,0.03,0,0,0
Diontae Spencer,WR,DEN,0.85,1.08,4500,3000,0,0,0,0.44,5.3,0.02,0,0,0
Jeff Smith,WR,NYJ,0.8,1.01,4500,3000,0,0,0,0.41,4.94,0.02,0,0,0
Hunter Bryant,TE,DET,0.86,1.09,4000,2500,0,0,0,0.46,4.52,0.03,0,0,0
Jesper Horsted,TE,CHI,0.8,1.01,4200,2500,0,0,0,0.41,4.18,0.03,0,0,0
Harrison Bryant,TE,CLE,0.77,0.97,4200,2500,0,0,0,0.41,3.84,0.03,0,0,0
Colby Parkinson,TE,SEA,0.77,0.98,4100,2500,0,0,0,0.42,3.84,0.03,0,0,0
Antony Auclair,TE,HOU,0.75,0.97,4200,2500,0,0,0,0.44,4.09,0.02,0,0,0
Jakeem Grant,WR,CHI,0.71,0.9,4500,3000,0,0,0,0.36,4.26,0.02,0,0,0
Cullen Gillaspia,RB,NYG,0.77,1.02,4500,4000,0,0,0,0.5,3.98,0.02,0,0,0
Kylen Granson,TE,IND,0.56,0.71,4200,2500,0,0,0,0.3,2.9,0.02,0,0,0
Tylan Wallace,WR,BAL,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Feleipe Franks,QB,ATL,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Joe Flacco,QB,PHI,0,0,6100,4100,0,0,0,0,0,0,0,0,0
Chad Henne,QB,KC,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Brian Hoyer,QB,NE,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Matt Slater,WR,NE,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Antonio Brown,WR,TB,0,0,7400,6300,0,0,0,0,0,0,0,0,0
Colt McCoy,QB,ARI,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Rob Gronkowski,TE,TB,0,0,6500,4800,0,0,0,0,0,0,0,0,0
Jimmy Graham,TE,CHI,0,0,4300,2500,0,0,0,0,0,0,0,0,0
Blaine Gabbert,QB,TB,0,0,6000,4100,0,0,0,0,0,0,0,0,0
Andy Dalton,QB,CHI,0,0,6300,5000,0,0,0,0,0,0,0,0,0
Tyrod Taylor,QB,HOU,0,0,6400,4900,0,0,0,0,0,0,0,0,0
Russell Wilson,QB,SEA,0,0,7000,6400,0,0,0,0,0,0,0,0,0
Nick Foles,QB,CHI,0,0,6200,5000,0,0,0,0,0,0,0,0,0
T.Y. Hilton,WR,IND,0,0,6200,4900,0,0,0,0,0,0,0,0,0
Nick Bellore,RB,SEA,0,0,4500,4000,0,0,0,0,0,0,0,0,0
Mike Glennon,QB,NYG,0,0,6100,4700,0,0,0,0,0,0,0,0,0
Latavius Murray,RB,BAL,0,0,5800,5800,0,0,0,0,0,0,0,0,0
Chris Hogan,WR,NO,0,0,4700,3000,0,0,0,0,0,0,0,0,0
Sammy Watkins,WR,BAL,0,0,5500,4500,0,0,0,0,0,0,0,0,0
Demetrius Harris,TE,ARI,0,0,4100,2500,0,0,0,0,0,0,0,0,0
Logan Thomas,TE,WSH,0,0,5000,3800,0,0,0,0,0,0,0,0,0
Marcus Mariota,QB,LV,0,0,6100,4000,0,0,0,0,0,0,0,0,0
Breshad Perriman,WR,CHI,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Nick Boyle,TE,BAL,0,0,4000,2500,0,0,0,0,0,0,0,0,0
Jesse James,TE,CHI,0,0,4100,2500,0,0,0,0,0,0,0,0,0
Tyrell Williams,WR,DET,0,0,5000,3800,0,0,0,0,0,0,0,0,0
Tyler Kroft,TE,NYJ,0,0,4400,2500,0,0,0,0,0,0,0,0,0
Daniel Brown,TE,NYJ,0,0,4000,2500,0,0,0,0,0,0,0,0,0
Will Fuller,WR,MIA,0,0,5000,4200,0,0,0,0,0,0,0,0,0
Michael Thomas,WR,NO,0,0,6000,5900,0,0,0,0,0,0,0,0,0
Jacoby Brissett,QB,MIA,0,0,6200,4600,0,0,0,0,0,0,0,0,0
Nick Vannett,TE,NO,0,0,4000,2500,0,0,0,0,0,0,0,0,0
Brett Hundley,QB,IND,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Christian McCaffrey,RB,CAR,0,0,10000,8500,0,0,0,0,0,0,0,0,0
Kenny Golladay,WR,NYG,0,0,5700,5700,0,0,0,0,0,0,0,0,0
Deshaun Watson,QB,HOU,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Kareem Hunt,RB,CLE,0,0,6000,6500,0,0,0,0,0,0,0,0,0
Curtis Samuel,WR,WSH,0,0,5000,4000,0,0,0,0,0,0,0,0,0
Tarik Cohen,RB,CHI,0,0,4600,4000,0,0,0,0,0,0,0,0,0
George Kittle,TE,SF,0,0,6000,5400,0,0,0,0,0,0,0,0,0
Chris Carson,RB,SEA,0,0,6500,5400,0,0,0,0,0,0,0,0,0
Ryan Switzer,WR,CLE,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Nathan Peterman,QB,LV,0,0,6100,4000,0,0,0,0,0,0,0,0,0
Garrett Griffin,TE,NO,0,0,4000,2500,0,0,0,0,0,0,0,0,0
Josh Rosen,QB,ATL,0,0,6000,4100,0,0,0,0,0,0,0,0,0
Baker Mayfield,QB,CLE,0,0,6700,5800,0,0,0,0,0,0,0,0,0
Nick Chubb,RB,CLE,0,0,7500,7000,0,0,0,0,0,0,0,0,0
Saquon Barkley,RB,NYG,0,0,6500,6700,0,0,0,0,0,0,0,0,0
