PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Wayne Gallman,RB,ATL,1,1.14,4500,4300,1.18,4.85,0.03,0.26,1.66,0.01,0,0,0
Trey Edmunds,RB,PIT,1.05,1.27,4500,4000,0.75,3.29,0.02,0.42,2.87,0.02,0,0,0
Josh Palmer,WR,LAC,1.1,1.34,4900,,0,0,0,0.47,5.69,0.05,0,0,0
Taysom Hill,QB,NO,1.2,1.58,6400,4700,0,0,0,0.72,7.02,0.03,0,0,0
Tyler Johnson,WR,TB,1.05,1.28,4500,3000,0,0,0,0.47,5.74,0.04,0,0,0
Zay Jones,WR,LV,1.1,1.38,4500,3100,0,0,0,0.55,6.03,0.04,0,0,0
Keith Smith,RB,ATL,1.05,1.34,4500,4000,0.49,1.98,0.01,0.58,3.84,0.02,0,0,0
Breshad Perriman,WR,CHI,0.9,1.08,4800,3300,0,0,0,0.35,5.48,0.03,0,0,0
C.J. Ham,RB,MIN,0.99,1.23,4500,4000,0.28,1.2,0.01,0.48,3.92,0.03,0,0,0
Chris Herndon,TE,MIN,0.92,1.15,4200,2900,0,0,0,0.44,4.82,0.04,0,0,0
Maxx Williams,TE,ARI,0.95,1.19,4100,2700,0,0,0,0.47,4.78,0.04,0,0,0
Alec Ingold,RB,LV,0.93,1.18,4500,4000,0.35,1.49,0.01,0.49,3.56,0.02,0,0,0
Durham Smythe,TE,MIA,0.93,1.18,4400,2500,0,0,0,0.5,4.39,0.04,0,0,0
Blake Bell,TE,KC,0.81,0.96,4100,2500,0.23,1.2,0.01,0.3,3.02,0.03,0,0,0
Dede Westbrook,WR,MIN,0.82,1.05,4500,3000,0,0,0,0.44,4.37,0.03,0,0,0
Diontae Spencer,WR,DEN,0.88,1.12,4500,3000,0,0,0,0.46,4.88,0.03,0,0,0
Rex Burkhead,RB,HOU,0.89,1.12,4500,4000,0.23,0.95,0.01,0.46,3.85,0.02,0,0,0
Brandon Bolden,RB,NE,0.69,0.8,4500,4000,0.55,2.35,0.02,0.22,1.64,0.01,0,0,0
Malik Taylor,WR,GB,0.66,0.81,4500,3000,0.12,0.64,0,0.29,3.48,0.02,0,0,0
Chris Manhertz,TE,JAC,0.76,0.94,4500,3000,0,0,0,0.36,3.97,0.03,0,0,0
Andy Janovich,RB,CLE,0.76,0.96,4500,4000,0.06,0.29,0,0.4,3.47,0.03,0,0,0
Malik Turner,WR,DAL,0.69,0.84,4500,3000,0,0,0,0.3,4.15,0.02,0,0,0
Michael Burton,RB,KC,0.7,0.87,4500,4000,0.23,1,0.01,0.35,2.42,0.02,0,0,0
Willie Snead,WR,LV,0.68,0.84,4800,3400,0,0,0,0.32,3.95,0.02,0,0,0
Cameron Brate,TE,TB,0.65,0.79,4300,2900,0,0,0,0.29,2.6,0.04,0,0,0
Gabe Nabers,RB,LAC,0.63,0.76,4500,4000,0.34,1.46,0.01,0.27,1.68,0.02,0,0,0
Amari Rodgers,WR,GB,0.58,0.71,4600,3000,0,0,0,0.26,3.32,0.02,0,0,0
Olamide Zaccheaus,WR,ATL,0.61,0.75,4500,3200,0,0,0,0.27,3.57,0.02,0,0,0
Trenton Cannon,RB,SF,0.54,0.66,4700,4700,0.28,1.14,0.01,0.25,1.77,0.01,0,0,0
Eric Saubert,TE,DEN,0.55,0.7,4000,2500,0,0,0,0.29,2.85,0.02,0,0,0
Elijhaa Penny,RB,NYG,0.55,0.67,4500,,0.4,1.65,0.01,0.24,1.49,0.01,0,0,0
Christian Blake,WR,ATL,0.51,0.65,4700,3000,0,0,0,0.28,3.09,0.01,0,0,0
Zach Gentry,TE,PIT,0.5,0.62,4000,2500,0,0,0,0.25,2.5,0.02,0,0,0
Jeff Smith,WR,NYJ,0.42,0.53,4500,3000,0,0,0,0.22,2.51,0.01,0,0,0
Marlon Mack,RB,IND,0.37,0.42,4600,4000,0.27,1.14,0.01,0.11,0.79,0.01,0,0,0
Gary Brightwell,RB,NYG,0.25,0.27,,4000,0.32,1.34,0.01,0.05,0.3,0,0,0,0
Odell Beckham,WR,CLE,0.18,0.18,6000,5200,0.22,1.16,0.01,0,0,0,0,0,0
Patrick Ricard,RB,BAL,0.24,0.29,4500,4000,0.1,0.42,0,0.11,0.78,0.01,0,0,0
Foster Moreau,TE,LV,0.24,0.29,4300,3000,0,0,0,0.11,1.22,0.01,0,0,0
Ricky Seals-Jones,TE,WSH,0.14,0.18,4100,2500,0,0,0,0.08,0.95,0,0,0,0
DeAndre Carter,WR,WSH,0.15,0.19,4500,3000,0,0,0,0.09,1.02,0,0,0,0
Jonathan Williams,RB,WSH,0.14,0.19,4500,4000,0.06,0.25,0,0.09,0.71,0,0,0,0
Ray-Ray McCloud,WR,PIT,0.1,0.13,4500,,0.05,0.26,0,0.05,0.5,0,0,0,0
D'Ernest Johnson,RB,CLE,0.09,0.11,4500,4000,0.06,0.29,0,0.04,0.37,0,0,0,0
Travis Homer,RB,SEA,0.09,0.11,4500,4000,0.05,0.24,0,0.05,0.37,0,0,0,0
Trevon Wesco,TE,NYJ,0.1,0.12,4100,2500,0.05,0.2,0,0.05,0.51,0,0,0,0
Demetric Felton,RB,CLE,0.09,0.11,,4000,0.06,0.29,0,0.04,0.36,0,0,0,0
Nick Bellore,RB,SEA,0.09,0.11,4500,4000,0.05,0.24,0,0.05,0.37,0,0,0,0
Alex Collins,RB,SEA,0.09,0.11,4500,4000,0.05,0.23,0,0.05,0.37,0,0,0,0
O.J. Howard,TE,TB,0.15,0.18,4700,3000,0,0,0,0.05,0.65,0.01,0,0,0
Jamal Agnew,WR,JAC,0.11,0.13,4500,3000,0.05,0.27,0,0.05,0.55,0,0,0,0
Jerick McKinnon,RB,KC,0.09,0.12,4600,4000,0.05,0.19,0,0.06,0.43,0,0,0,0
Derek Watt,RB,PIT,0.09,0.11,4500,4000,0.05,0.23,0,0.05,0.41,0,0,0,0
Elijah McGuire,RB,KC,0.09,0.12,4500,,0.05,0.19,0,0.06,0.45,0,0,0,0
Corey Clement,RB,DAL,0.1,0.13,4500,4000,0.05,0.21,0,0.06,0.47,0,0,0,0
Jeremy Sprinkle,TE,DAL,0.14,0.17,4100,2500,0,0,0,0.05,0.57,0.01,0,0,0
Mike Boone,RB,DEN,0.09,0.11,4500,4000,0.06,0.27,0,0.05,0.33,0,0,0,0
Andrew Beck,RB,DEN,0.09,0.11,4000,2500,0.06,0.27,0,0.05,0.35,0,0,0,0
Codey McElroy,TE,TB,0.14,0.16,4000,2500,0,0,0,0.05,0.51,0.01,0,0,0
Ke'Shawn Vaughn,RB,TB,0.08,0.11,4500,4000,0.05,0.23,0,0.05,0.35,0,0,0,0
Joshua Kelley,RB,LAC,0.08,0.11,4500,4000,0.05,0.23,0,0.05,0.34,0,0,0,0
LeVante Bellamy,RB,DEN,0.09,0.11,4500,4000,0.06,0.27,0,0.05,0.34,0,0,0,0
Jonathan Ward,RB,ARI,0.09,0.11,4500,4000,0.05,0.24,0,0.05,0.38,0,0,0,0
Eno Benjamin,RB,ARI,0.09,0.11,4500,4000,0.05,0.24,0,0.05,0.38,0,0,0,0
Colby Parkinson,TE,SEA,0.13,0.16,4000,2500,0,0,0,0.05,0.49,0.01,0,0,0
Sean McKeon,TE,DAL,0.15,0.17,4000,2500,0,0,0,0.05,0.61,0.01,0,0,0
Antonio Williams,RB,BUF,0.09,0.11,,4000,0.05,0.22,0,0.05,0.4,0,0,0,0
Jake Funk,RB,LA,0.09,0.11,,4000,0.05,0.23,0,0.05,0.37,0,0,0,0
Josiah Deguara,TE,GB,0.13,0.16,4100,2500,0,0,0,0.05,0.49,0.01,0,0,0
Reggie Gilliam,TE,BUF,0.08,0.1,4000,4000,0,0,0,0.05,0.52,0,0,0,0
Adrian Killins,RB,PHI,0.08,0.11,4500,,0.05,0.22,0,0.05,0.37,0,0,0,0
Austin Walter,RB,NYJ,0.08,0.11,4500,,0.05,0.2,0,0.05,0.36,0,0,0,0
Charlie Woerner,TE,SF,0.13,0.16,4100,2500,0,0,0,0.05,0.49,0.01,0,0,0
Dominique Dafney,TE,GB,0.13,0.16,4100,2500,0,0,0,0.05,0.49,0.01,0,0,0
