PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
D'Ernest Johnson,CLE,RB,0.34,0.39,0.34,4600,4000,10,1,1,1,1,0,0,10.75,#C7C7F4,6.75,#F6F6FD,14.5,#A2A2EC
Brandon Zylstra,CAR,WR,0.28,0.34,0.28,4500,3000,10,1,1,1,1,0,0,8.5,#DCDCF8,6,#FCFCFE,13.5,#ABABEE
Pharoh Cooper,CAR,WR,0.26,0.32,0.26,4500,3000,10,1,1,1,1,0,0,8.5,#DCDCF8,6,#FCFCFE,13.5,#ABABEE
Tyler Davis,JAC,TE,0.25,0.32,0.25,4000,2500,10,1,1,1,1,0,0,8.5,#DCDCF8,3.5,#FFDC9D,11.25,#C0C0F2
Isaiah Zuber,NE,WR,0.26,0.31,0.26,4500,,,1,1,1,1,0,0,,,6,#FCFCFE,,
Adam Trautman,NO,TE,0.25,0.3,0.25,4200,2500,10,1,1,1,1,0,0,8.5,#DCDCF8,5,#FFF4E1,11.25,#C0C0F2
Jeremy Sprinkle,WSH,TE,0.19,0.23,0.19,4100,2500,10,1,1,1,1,0,0,8.5,#DCDCF8,3.75,#FFE0A9,11.25,#C0C0F2
Temarrick Hemingway,WSH,TE,0.15,0.18,0.15,4000,2500,10,1,1,1,1,0,0,8.5,#DCDCF8,3.75,#FFE0A9,11.25,#C0C0F2
Dwayne Washington,NO,RB,0.15,0.17,0.15,4500,4000,10,1,1,1,1,0,0,11,#C5C5F3,6,#FCFCFE,14.75,#9F9FEC
Ty Montgomery,NO,RB,0.13,0.17,0.13,4600,4000,10,1,1,1,1,0,0,11,#C5C5F3,7,#F4F4FD,14.75,#9F9FEC
Zach Gentry,PIT,TE,0.14,0.16,0.14,4000,2500,10,1,1,1,1,0,0,8.5,#DCDCF8,3.75,#FFE0A9,11.25,#C0C0F2
Keke Coutee,HOU,WR,0.12,0.14,0.12,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6,#FCFCFE,13.75,#A9A9ED
Trayveon Williams,CIN,RB,0.1,0.13,0.1,4500,4000,10,1,1,1,1,0,0,11,#C5C5F3,6,#FCFCFE,14.75,#9F9FEC
Antonio Gandy-Golden,WSH,WR,0.09,0.12,0.09,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,13.75,#A9A9ED
Gardner Minshew,JAC,QB,0.1,0.12,0.1,6800,5300,23,1,1,1,1,0,0,20.25,#7070E3,19.25,#9898EA,22.75,#5555DE
Matt Slater,NE,WR,0.1,0.12,0.1,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6,#FCFCFE,13.75,#A9A9ED
Qadree Ollison,ATL,RB,0.09,0.12,0.09,4700,4000,10,1,1,1,1,0,0,11,#C5C5F3,7.5,#F1F1FC,14.75,#9F9FEC
Darrynton Evans,TEN,RB,0.08,0.11,0.08,4600,4000,10,1,1,1,1,0,0,11,#C5C5F3,7,#F4F4FD,14.75,#9F9FEC
J.J. Taylor,NE,RB,0.09,0.11,0.09,4500,4000,10,1,1,1,1,0,0,11,#C5C5F3,6.25,#FAFAFE,14.75,#9F9FEC
