PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Willie Snead,BAL,WR,7.23,8.95,7.23,5200,4500,15,1,1,1,1,0,0,4,#FFEFD2,3.25,#FFE1AA,4.25,#FFF4E1
Steven Sims,WSH,WR,7.27,8.92,7.27,4600,3000,10,1,1,1,1,0,0,1.75,#FFC55C,3,#FFDC9D,3.5,#FFE6B9
Henry Ruggs,LV,WR,7.24,8.81,7.24,5500,4000,11,0,1,0,1,0,0,3.25,#FFE1AA,4,#FFEFD2,3.5,#FFE6B9
Allen Lazard,GB,WR,7.21,8.76,7.21,5500,4600,15,1,1,0,1,1,1,5,#FDFDFE,4,#FFEFD2,4.25,#FFF4E1
Rashard Higgins,CLE,WR,7.17,8.76,7.17,5400,4500,15,1,1,1,1,0,0,4.25,#FFF3DF,4,#FFEFD2,4.25,#FFF4E1
Hunter Renfrow,LV,WR,7.09,8.75,7.09,4900,3700,14,0,1,0,1,0,0,3,#FFDC9D,3,#FFDC9D,4.25,#FFF4E1
Darrell Henderson,LA,RB,8.02,8.59,8.02,6000,5300,18,0,1,0,1,0,0,6.5,#F0F0FC,6,#F5F5FD,5.75,#F6F6FD
N'Keal Harry,NE,WR,6.97,8.58,6.97,5300,3600,13,1,1,1,1,0,0,3.25,#FFE1AA,3.5,#FFE5B8,4.25,#FFF4E1
Zach Pascal,IND,WR,6.96,8.54,6.96,5300,4400,14,1,1,0,1,1,1,4.5,#FFF8EC,3.75,#FFEAC5,4.5,#FFF9EF
Cleveland D/ST,CLE,DST,8.44,8.44,8.44,4600,3000,17,1,1,1,1,0,0,0,#FFA500,1.25,#FFBC41,0.75,#FFB327
Dalton Schultz,DAL,TE,6.54,8.3,6.54,5000,3600,11,1,1,0,1,1,1,3.75,#FFEAC5,5.5,#F9F9FD,2.25,#FFCF77
Joshua Kelley,LAC,RB,7.24,8.24,7.24,5200,4000,12,1,1,0,1,1,0,3.75,#FFEAC5,5.25,#FBFBFE,4.5,#FFF9EF
Los Angeles Chargers D/ST,LAC,DST,8.21,8.21,8.21,4500,4000,12,1,1,0,1,1,0,3,#FFDC9D,1.25,#FFBC41,0,#FFA500
Logan Thomas,WSH,TE,6.55,8.1,6.55,5200,3300,18,1,1,1,1,0,0,2.75,#FFD890,6,#F5F5FD,4.25,#FFF4E1
Trey Burton,IND,TE,6.53,8.08,6.53,5200,3100,12,1,1,0,1,1,1,2.75,#FFD890,6,#F5F5FD,2.75,#FFD892
Mike Gesicki,MIA,TE,6.46,8.07,6.46,5300,4300,12,1,1,0,1,1,0,5.25,#FBFBFE,6,#F5F5FD,2.75,#FFD892
Phillip Lindsay,DEN,RB,7.19,7.96,7.19,5400,4500,18,1,1,0,1,1,0,5.75,#F7F7FD,5.5,#F9F9FD,6.5,#F0F0FC
Demarcus Robinson,KC,WR,6.44,7.77,6.44,5400,3500,12,0,1,0,1,0,0,4,#FFEFD2,4.75,#FFFDF9,4.25,#FFF4E1
Nelson Agholor,LV,WR,6.27,7.68,6.27,5300,4500,16,0,1,0,1,0,0,5.25,#FBFBFE,4.25,#FFF3DF,5.5,#F8F8FD
J.K. Dobbins,BAL,RB,6.63,7.67,6.63,5500,5100,17,1,1,1,1,0,0,7.25,#EAEAFB,6.25,#F2F2FC,7,#EBEBFB
Marquez Valdes-Scantling,GB,WR,6.43,7.65,6.43,5800,4800,20,1,1,0,1,1,1,6.5,#F0F0FC,5.25,#FBFBFE,6.5,#F0F0FC
Minnesota D/ST,MIN,DST,7.54,7.54,7.54,4400,3300,15,1,1,0,1,1,1,2,#FFCA69,1.75,#FFC55C,1.5,#FFC14F
Washington D/ST,WSH,DST,7.53,7.53,7.53,4100,2900,16,1,1,1,1,0,0,1,#FFB734,1,#FFB734,1.75,#FFC55C
Alshon Jeffery,PHI,WR,6.06,7.47,6.06,4700,3700,15,1,1,1,1,0,0,4.25,#FFF3DF,4,#FFEFD2,5.25,#FBFBFE
Matt Breida,MIA,RB,6.51,7.31,6.51,4600,4000,14,1,1,0,1,1,0,4.75,#FFFDF9,4.75,#FFFDF9,6.5,#F0F0FC
Tyler Eifert,JAC,TE,5.76,7.23,5.76,4600,2700,10,1,1,1,1,0,0,3.25,#FFE1AA,5.5,#F9F9FD,3,#FFDD9F
Mark Ingram,BAL,RB,6.65,7.14,6.65,5900,5000,15,1,1,1,1,0,0,7.5,#E8E8FA,7,#ECECFB,6.5,#F0F0FC
Detroit D/ST,DET,DST,7.12,7.12,7.12,3500,2700,12,1,1,1,1,0,0,1,#FFB734,0,#FFA500,1.25,#FFBC42
Miami D/ST,MIA,DST,7.05,7.05,7.05,4800,3400,19,1,1,0,1,1,0,2.5,#FFD383,3.25,#FFE1AA,3.25,#FFE1AC
Russell Gage,ATL,WR,5.55,7.05,5.55,5100,3900,12,1,1,1,1,0,0,5,#FDFDFE,4.75,#FFFDF9,5,#FDFDFE
New England D/ST,NE,DST,6.89,6.89,6.89,4300,3000,16,1,1,1,1,0,0,1.75,#FFC55C,1.5,#FFC04E,2.25,#FFCF77
Jordan Wilkins,IND,RB,6.55,6.87,6.55,5300,4000,16,1,1,0,1,1,1,5,#FDFDFE,6,#F5F5FD,6.5,#F0F0FC
Greg Ward,PHI,WR,5.39,6.84,5.39,5200,4000,16,1,1,1,1,0,0,5,#FDFDFE,5.25,#FBFBFE,6.5,#F0F0FC
Tyler Higbee,LA,TE,5.34,6.71,5.34,5300,3600,14,0,1,0,1,0,0,5.25,#FBFBFE,7.25,#EAEAFB,5,#FDFDFE
Malcolm Brown,LA,RB,6.01,6.69,6.01,5700,4900,18,0,1,0,1,0,0,8,#E3E3F9,7,#ECECFB,7.75,#E5E5FA
Latavius Murray,NO,RB,6.42,6.65,6.42,5000,5900,13,1,1,1,1,0,0,10.25,#D0D0F5,5.5,#F9F9FD,6,#F4F4FD
