PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Alex Erickson,CIN,WR,3.27,4.07,3.27,4500,3000,10,1,1,1,1,1,1,6.25,#F5F5FD,5.75,#F6F6FD,5.75,#EEEEFB
Miami D/ST,MIA,DST,3.98,3.98,3.98,3800,2800,16,1,1,1,1,1,1,5.5,#FBFBFE,5,#FCFCFE,5.25,#F3F3FC
Dan Arnold,ARI,TE,3.18,3.9,3.18,5000,3600,10,1,1,1,1,1,1,6.5,#F2F2FC,5.25,#FAFAFE,4.75,#F8F8FD
Jacksonville D/ST,JAC,DST,3.9,3.9,3.9,3200,2200,10,1,1,1,1,1,1,4.75,#FFF9EF,3.5,#FFE7BB,3.75,#FFF6E6
Equanimeous St. Brown,GB,WR,3.1,3.78,3.1,4600,3000,10,1,1,1,1,1,1,6.5,#F2F2FC,5.75,#F6F6FD,6,#ECECFB
Dion Lewis,NYG,RB,2.94,3.77,2.94,4700,4000,10,1,1,1,1,1,1,10,#D5D5F7,9,#D9D9F7,9.25,#CBCBF4
Minnesota D/ST,MIN,DST,3.72,3.72,3.72,4400,2300,11,1,1,1,1,1,1,4.75,#FFF9EF,6.25,#F1F1FC,4,#FFFBF5
Kalif Raymond,TEN,WR,2.99,3.71,2.99,4600,3000,10,1,1,1,1,1,1,6.75,#F0F0FC,6,#F3F3FC,6.25,#E9E9FA
Chad Beebe,MIN,WR,2.95,3.68,2.95,4900,3000,10,1,1,1,1,1,1,6.75,#F0F0FC,6.25,#F1F1FC,6.25,#E9E9FA
Nick Vannett,DEN,TE,2.91,3.67,2.91,4200,2500,10,1,1,1,1,1,1,4.5,#FFF5E3,3.5,#FFE7BB,5.25,#F3F3FC
Cedrick Wilson,DAL,WR,2.88,3.57,2.88,4700,3300,10,1,1,1,1,1,1,7.5,#EAEAFB,6,#F3F3FC,6.25,#E9E9FA
James O'Shaughnessy,JAC,TE,2.81,3.56,2.81,4100,2500,10,1,1,1,1,1,1,4.75,#FFF9EF,3.5,#FFE7BB,5.25,#F3F3FC
Chris Herndon,NYJ,TE,2.64,3.35,2.64,4500,2500,10,1,1,1,1,1,1,5,#FFFEFC,5,#FCFCFE,5.5,#F1F1FC
Cameron Brate,TB,TE,2.66,3.33,2.66,4700,3000,10,1,1,1,1,1,1,5.75,#F9F9FD,5,#FCFCFE,5.5,#F1F1FC
Matt Breida,MIA,RB,2.86,3.25,2.86,4700,4000,10,1,1,1,1,1,1,10.5,#D1D1F6,9.25,#D7D7F7,9.25,#CBCBF4
Devin Duvernay,BAL,WR,2.63,3.23,2.63,5100,3000,10,1,1,1,1,0,1,7.25,#ECECFB,7,#EBEBFB,6.5,#E7E7FA
Lynn Bowden Jr.,MIA,WR,2.64,3.16,2.64,4600,3000,10,1,1,1,1,1,1,7.25,#ECECFB,6.25,#F1F1FC,6.5,#E7E7FA
Bryan Edwards,LV,WR,2.58,3.15,2.58,4700,3000,10,1,1,1,1,1,1,7.25,#ECECFB,6.5,#EFEFFC,6.5,#E7E7FA
Benny Snell Jr.,PIT,RB,2.88,3.1,2.88,6200,5700,17,1,1,0,1,1,1,14.25,#B1B1EF,12.25,#BCBCF1,11.5,#B3B3F0
Van Jefferson,LA,WR,2.5,3.1,2.5,4700,3000,10,1,1,1,1,1,1,7.25,#ECECFB,6.5,#EFEFFC,6.75,#E4E4F9
Jeremy McNichols,TEN,RB,2.63,3.02,2.63,4900,4000,10,1,1,1,1,1,1,10.75,#CFCFF5,10,#D0D0F6,9.5,#C8C8F4
Rodney Smith,CAR,RB,2.51,2.94,2.51,4700,4000,10,1,1,1,1,1,1,10.75,#CFCFF5,9.5,#D5D5F7,9.75,#C5C5F3
Scotty Miller,TB,WR,2.41,2.94,2.41,4800,3000,13,1,1,1,1,1,1,7.5,#EAEAFB,6.5,#EFEFFC,8.25,#D5D5F7
Adam Shaheen,MIA,TE,2.32,2.92,2.32,4300,2500,10,1,1,1,1,1,1,5.25,#FDFDFE,4.25,#FFF5E4,5.75,#EEEEFB
Freddie Swain,SEA,WR,2.33,2.87,2.33,4600,3000,10,1,1,1,1,1,1,7.5,#EAEAFB,6.5,#EFEFFC,6.75,#E4E4F9
Jaeden Graham,ATL,TE,2.29,2.84,2.29,4000,2500,10,1,1,1,1,1,1,5.5,#FBFBFE,4,#FFF0D6,5.75,#EEEEFB
Durham Smythe,MIA,TE,2.18,2.76,2.18,4100,2500,10,1,1,1,1,1,1,5.5,#FBFBFE,4.25,#FFF5E4,5.75,#EEEEFB
Jordan Howard,PHI,RB,2.62,2.76,2.62,4600,4000,10,1,1,1,1,1,1,11,#CDCDF5,9.25,#D7D7F7,9.5,#C8C8F4
Adam Trautman,NO,TE,2.15,2.7,2.15,4300,2500,10,1,1,1,1,1,1,5.5,#FBFBFE,4.5,#FFFAF1,6,#ECECFB
Kaden Smith,NYG,TE,2.08,2.63,2.08,4000,2500,10,1,1,1,1,1,1,5.75,#F9F9FD,4.25,#FFF5E4,6,#ECECFB
Alexander Mattison,MIN,RB,2.39,2.61,2.39,5500,6400,12,1,1,1,1,1,1,16,#A2A2EC,11,#C7C7F4,9.75,#C5C5F3
Javon Wims,CHI,WR,2.01,2.54,2.01,4700,3000,10,1,1,1,1,1,1,7.75,#E8E8FA,7,#EBEBFB,7.25,#DFDFF9
Gunner Olszewski,NE,WR,2.05,2.53,2.05,4800,3200,10,1,1,1,1,1,1,8.25,#E4E4F9,7,#EBEBFB,7,#E2E2F9
Geoff Swaim,TEN,TE,2.01,2.51,2.01,4100,2500,10,1,1,1,1,1,1,5.75,#F9F9FD,4.25,#FFF5E4,6,#ECECFB
Devin Asiasi,NE,TE,1.94,2.46,1.94,4000,2500,10,1,1,1,1,1,1,5.75,#F9F9FD,4.25,#FFF5E4,6,#ECECFB
Jamal Agnew,DET,WR,2.03,2.43,2.03,4800,3000,10,1,1,1,1,1,1,8,#E6E6FA,7,#EBEBFB,7,#E2E2F9
Detroit D/ST,DET,DST,2.38,2.38,2.38,3100,2000,10,1,1,1,1,1,1,6,#F7F7FD,4.75,#FFFFFF,5.25,#F3F3FC
Dare Ogunbowale,JAC,RB,1.89,2.34,1.89,4500,4000,10,1,1,1,1,1,1,11.5,#C9C9F4,9.5,#D5D5F7,10.25,#C0C0F2
Noah Brown,DAL,WR,1.83,2.34,1.83,4500,3000,10,1,1,1,1,1,1,8,#E6E6FA,7,#EBEBFB,7.25,#DFDFF9
Darrel Williams,KC,RB,1.97,2.33,1.97,4700,4000,10,1,1,1,1,1,1,11.5,#C9C9F4,10,#D0D0F6,10.25,#C0C0F2
Kyle Juszczyk,SF,RB,1.92,2.31,1.92,4500,4000,10,1,1,1,1,1,1,11.5,#C9C9F4,9.5,#D5D5F7,10.25,#C0C0F2
Anthony McFarland Jr.,PIT,RB,2.08,2.29,2.08,5600,4400,10,1,1,0,1,1,1,12,#C4C4F3,11.5,#C2C2F3,10.25,#C0C0F2
DeAndre Washington,MIA,RB,2.02,2.29,2.02,4800,4000,10,1,1,1,1,1,1,11.5,#C9C9F4,10,#D0D0F6,10,#C3C3F3
KeeSean Johnson,ARI,WR,1.8,2.26,1.8,4700,3000,10,1,1,1,1,1,1,8.25,#E4E4F9,7.25,#E8E8FA,7.25,#DFDFF9
Stephen Anderson,LAC,TE,1.79,2.22,1.79,4000,2500,10,1,1,1,1,1,1,6,#F7F7FD,4.5,#FFFAF1,6.25,#E9E9FA
John Hightower,PHI,WR,1.77,2.2,1.77,4600,3000,10,1,1,1,1,1,1,8.25,#E4E4F9,7.25,#E8E8FA,7.25,#DFDFF9
Kalen Ballage,LAC,RB,1.99,2.2,1.99,5000,4000,10,1,1,1,1,1,1,11.5,#C9C9F4,10.5,#CBCBF5,10.25,#C0C0F2
Richie James,SF,WR,1.81,2.2,1.81,4900,3400,10,1,1,1,1,1,1,9,#DEDEF8,7.25,#E8E8FA,7.25,#DFDFF9
Kahale Warring,HOU,TE,1.75,2.16,1.75,4100,2500,10,1,1,1,1,1,1,6.25,#F5F5FD,4.5,#FFFAF1,6.25,#E9E9FA
Ray-Ray McCloud,PIT,WR,1.69,2.11,1.69,4600,,,1,1,0,1,1,1,,,7.25,#E8E8FA,,
Ashton Dulin,IND,WR,1.63,2.01,1.63,4500,3000,10,1,1,1,1,1,1,8.5,#E2E2F9,7.25,#E8E8FA,7.5,#DDDDF8
Ross Dwelley,SF,TE,1.57,1.96,1.57,4900,2500,10,1,1,1,1,1,1,6.25,#F5F5FD,6.5,#EFEFFC,6.5,#E7E7FA
K.J. Hill,LAC,WR,1.55,1.93,1.55,4500,3000,10,1,1,1,1,1,1,8.5,#E2E2F9,7.25,#E8E8FA,7.5,#DDDDF8
Zay Jones,LV,WR,1.45,1.79,1.45,4600,3000,10,1,1,1,1,1,1,8.5,#E2E2F9,7.5,#E6E6FA,7.75,#DADAF8
Chris Manhertz,CAR,TE,1.39,1.7,1.39,4000,2500,10,1,1,1,1,1,1,6.5,#F2F2FC,5,#FCFCFE,6.75,#E4E4F9
Antonio Callaway,MIA,WR,1.32,1.66,1.32,4700,3000,10,1,1,1,1,1,1,8.75,#E0E0F9,7.75,#E4E4F9,7.75,#DADAF8
Donald Parham Jr.,LAC,TE,1.33,1.65,1.33,4400,2500,10,1,1,1,1,1,1,6.75,#F0F0FC,5.5,#F8F8FD,6.75,#E4E4F9
C.J. Ham,MIN,RB,1.27,1.63,1.27,4500,4000,10,1,1,1,1,1,1,12,#C4C4F3,10,#D0D0F6,10.75,#BBBBF1
Tevin Coleman,SF,RB,1.43,1.6,1.43,5000,4900,10,1,1,1,1,1,1,13.75,#B5B5F0,11.25,#C5C5F3,10.75,#BBBBF1
Theo Riddick,LV,RB,1.39,1.59,1.39,,4000,10,1,1,1,1,1,1,12.25,#C2C2F3,,,10.75,#BBBBF1
MyCole Pruitt,TEN,TE,1.25,1.54,1.25,4800,2500,10,1,1,1,1,1,1,6.75,#F0F0FC,6.5,#EFEFFC,6.75,#E4E4F9
Tyrie Cleveland,DEN,WR,1.21,1.53,1.21,4500,3000,10,1,1,1,1,1,1,8.75,#E0E0F9,7.75,#E4E4F9,8,#D8D8F7
Marcedes Lewis,GB,TE,1.18,1.43,1.18,4400,2500,10,1,1,1,1,1,1,6.75,#F0F0FC,5.75,#F6F6FD,6.75,#E4E4F9
Jason Witten,LV,TE,1.08,1.4,1.08,4200,2500,10,1,1,1,1,1,1,7,#EEEEFB,5.25,#FAFAFE,7,#E2E2F9
Alex Armah,CAR,RB,1.07,1.36,1.07,4600,4000,10,1,1,1,1,1,1,12.25,#C2C2F3,11,#C7C7F4,11.25,#B6B6F0
Mason Schreck,CIN,TE,1.09,1.36,1.09,4000,2500,10,1,1,1,1,1,1,7,#EEEEFB,5.25,#FAFAFE,7,#E2E2F9
Jesse James,DET,TE,1.1,1.34,1.1,4500,2500,10,1,1,1,1,1,1,7,#EEEEFB,6.5,#EFEFFC,7,#E2E2F9
DeeJay Dallas,SEA,RB,1.09,1.32,1.09,4600,4000,10,1,1,1,1,1,1,12.5,#C0C0F2,11,#C7C7F4,11,#B9B9F1
Tyron Johnson,LAC,WR,1.06,1.32,1.06,4600,3000,10,1,1,1,1,1,1,9,#DEDEF8,7.75,#E4E4F9,8,#D8D8F7
Malik Taylor,GB,WR,1.05,1.31,1.05,4600,3000,10,1,1,1,1,1,1,9,#DEDEF8,7.75,#E4E4F9,8,#D8D8F7
Dalton Keene,NE,TE,1.03,1.3,1.03,4000,2500,10,1,1,1,1,1,1,7,#EEEEFB,5.25,#FAFAFE,7,#E2E2F9
Tyler Johnson,TB,WR,1.04,1.3,1.04,4800,3000,10,1,1,1,1,1,1,9,#DEDEF8,8,#E2E2F9,8,#D8D8F7
