PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
J.D. McKissic,WSH,RB,6.71,8.58,6.71,,4400,13,1,1,1,1,1,1,4.5,#FAFAFE,,,6,#EBEBFB
N'Keal Harry,NE,WR,6.89,8.54,6.89,5100,3000,10,1,1,1,1,1,1,1.25,#FFC04D,2.25,#FFD893,2.25,#FFD68B
Zack Moss,BUF,RB,7.71,8.42,7.71,,4500,16,1,1,1,1,0,1,5,#F5F5FD,,,6,#EBEBFB
Las Vegas D/ST,LV,DST,8.39,8.39,8.39,4400,3400,10,1,1,1,1,1,1,1.75,#FFCB6C,1,#FFBC41,0.25,#FFAA0F
A.J. Green,CIN,WR,6.81,8.34,6.81,5200,3100,10,1,1,1,1,1,1,1.5,#FFC55D,3,#FFEAC4,2.5,#FFDB9B
Larry Fitzgerald,ARI,WR,6.48,8.28,6.48,5000,3600,10,1,1,1,1,1,1,2.5,#FFDB9B,2.75,#FFE4B3,2.75,#FFE1AB
Mike Gesicki,MIA,TE,6.79,8.28,6.79,5700,4200,15,1,1,1,1,1,1,3.5,#FFF1D9,2.75,#FFE4B3,2,#FFD07C
Golden Tate,NYG,WR,6.55,8.26,6.55,5200,3800,14,1,1,1,1,1,1,3.25,#FFECCA,3.25,#FFF0D4,4.25,#FDFDFE
Jerick McKinnon,SF,RB,7.1,8.22,7.1,,4200,13,1,1,1,1,1,1,4,#FFFCF8,,,5.5,#F0F0FC
Darrell Henderson,LA,RB,7.62,8.17,7.62,5600,4300,17,1,1,1,1,1,1,4.5,#FAFAFE,4.25,#FBFBFE,6.25,#E8E8FA
Henry Ruggs,LV,WR,6.83,8.17,6.83,5400,4500,14,1,1,1,1,1,1,4.75,#F8F8FD,3.25,#FFF0D4,4,#FFFCF8
Latavius Murray,NO,RB,7.54,8.12,7.54,5800,5900,17,1,1,1,1,1,1,7.5,#DCDCF8,5,#F3F3FC,6.25,#E8E8FA
Zach Pascal,IND,WR,6.6,8.03,6.6,4800,3500,13,1,1,1,1,1,1,2.75,#FFE1AB,2.25,#FFD893,3.5,#FFF1D9
Trey Burton,IND,TE,6.43,7.91,6.43,5500,3500,14,1,1,1,1,1,1,2.25,#FFD68B,2.75,#FFE4B3,2.25,#FFD68B
Todd Gurley,ATL,RB,7.15,7.76,7.15,6600,5300,20,1,1,1,1,1,1,7,#E1E1F9,7.25,#DADAF8,8.25,#D4D4F6
Le'Veon Bell,KC,RB,6.86,7.7,6.86,,4400,14,1,1,1,1,1,1,5.5,#F0F0FC,,,5.75,#EEEEFB
Kansas City D/ST,KC,DST,7.68,7.68,7.68,,3700,21,1,1,1,1,1,1,3.25,#FFECCA,,,4.5,#FAFAFE
Julio Jones,ATL,WR,6.2,7.65,6.2,8000,6600,31,1,1,1,1,1,1,10.25,#BFBFF2,9.5,#C2C2F3,10.5,#BCBCF1
Robert Tonyan,GB,TE,6.2,7.64,6.2,5900,3700,19,1,1,1,1,1,1,2.75,#FFE1AB,3.5,#FFF5E4,4,#FFFCF8
Emmanuel Sanders,NO,WR,6.17,7.59,6.17,5300,4700,16,1,1,1,1,1,1,5.5,#F0F0FC,3.75,#FFFBF5,5.5,#F0F0FC
Minnesota D/ST,MIN,DST,7.51,7.51,7.51,4300,3500,13,1,1,1,1,1,1,2.5,#FFDB9B,1.75,#FFCD72,2.25,#FFD68B
Kyle Rudolph,MIN,TE,6.15,7.5,6.15,5000,3400,12,1,1,1,1,1,1,2.5,#FFDB9B,1.75,#FFCD72,1.75,#FFCB6C
Brian Hill,ATL,RB,6.71,7.45,6.71,5800,4800,16,1,1,1,1,1,1,6.5,#E6E6FA,5.75,#EBEBFB,7,#E1E1F9
Tyler Higbee,LA,TE,6.1,7.42,6.1,5100,3400,12,1,1,1,1,1,1,2.75,#FFE1AB,2.25,#FFD893,1.75,#FFCB6C
Rashard Higgins,CLE,WR,6,7.33,6,5400,4000,12,1,1,1,1,1,1,4.75,#F8F8FD,4.25,#FBFBFE,4,#FFFCF8
Danny Amendola,DET,WR,5.84,7.31,5.84,5000,3700,10,1,1,1,1,1,1,3.5,#FFF1D9,3.25,#FFF0D4,3.25,#FFECCA
Cam Akers,LA,RB,6.88,7.29,6.88,5600,4500,16,1,1,1,1,1,1,6,#EBEBFB,5,#F3F3FC,7,#E1E1F9
David Moore,SEA,WR,6.01,7.25,6.01,5000,3400,11,1,1,1,1,1,1,3,#FFE6BA,3.25,#FFF0D4,4,#FFFCF8
Logan Thomas,WSH,TE,5.72,7.23,5.72,,3400,12,1,1,1,1,1,1,3,#FFE6BA,,,2.25,#FFD68B
Zach Ertz,PHI,TE,5.55,7.08,5.55,5700,3900,15,1,1,1,1,1,1,4.5,#FAFAFE,4,#FDFDFE,3.25,#FFECCA
New Orleans D/ST,NO,DST,7,7,7,4800,3600,20,1,1,1,1,1,1,3.75,#FFF7E9,3.75,#FFFBF5,5.25,#F3F3FC
Detroit D/ST,DET,DST,6.98,6.98,6.98,3500,2500,11,1,1,1,1,1,1,1,#FFBA3E,0.5,#FFB020,2.25,#FFD68B
Chicago D/ST,CHI,DST,6.96,6.96,6.96,4200,3100,16,1,1,1,1,1,1,2.5,#FFDB9B,2.5,#FFDEA3,3.75,#FFF7E9
Tyler Eifert,JAC,TE,5.52,6.95,5.52,4700,3000,12,1,1,1,1,1,1,2,#FFD07C,1.75,#FFCD72,2.5,#FFDB9B
Isaiah Coulter,HOU,WR,5.59,6.93,5.59,4500,3000,10,1,1,1,1,1,1,2.75,#FFE1AB,2.75,#FFE4B3,3.5,#FFF1D9
Jimmy Graham,CHI,TE,5.54,6.89,5.54,5400,3600,13,1,1,1,1,1,1,3.5,#FFF1D9,3.25,#FFF0D4,3.25,#FFECCA
Atlanta D/ST,ATL,DST,6.78,6.78,6.78,3500,2400,10,1,1,1,1,1,1,0.5,#FFAF1F,0.75,#FFB631,1.75,#FFCB6C
Adam Humphries,TEN,WR,5.27,6.73,5.27,4900,3200,12,1,1,1,1,1,1,3,#FFE6BA,3.5,#FFF5E4,4.75,#F8F8FD
San Francisco D/ST,SF,DST,6.72,6.72,6.72,,2500,13,1,1,1,1,1,1,1.25,#FFC04D,,,3,#FFE6BA
Kenny Golladay,DET,WR,5.61,6.69,5.61,7000,6000,25,1,1,1,1,1,1,9,#CCCCF5,7.75,#D5D5F7,9.25,#C9C9F4
Jakeem Grant,MIA,WR,5.31,6.62,5.31,4800,3500,11,1,1,1,1,1,1,4.25,#FDFDFE,3.5,#FFF5E4,4.75,#F8F8FD
Indianapolis D/ST,IND,DST,6.6,6.6,6.6,4600,3000,18,1,1,1,1,1,1,2.75,#FFE1AB,3.5,#FFF5E4,4.25,#FDFDFE
Duke Johnson,HOU,RB,5.5,6.57,5.5,6000,5800,14,1,1,1,1,1,1,8.75,#CFCFF5,7.5,#D8D8F7,7.25,#DEDEF8
Buffalo D/ST,BUF,DST,6.43,6.43,6.43,,2700,14,1,1,1,1,0,1,2.25,#FFD68B,,,3.5,#FFF1D9
Cordarrelle Patterson,CHI,WR,5.72,6.36,5.72,5500,3600,15,1,1,1,1,1,1,4.5,#FAFAFE,4.5,#F8F8FD,5,#F5F5FD
Marquez Valdes-Scantling,GB,WR,5.33,6.35,5.33,5700,4400,15,1,1,1,1,1,1,6,#EBEBFB,5.25,#F0F0FC,5.5,#F0F0FC
Greg Ward,PHI,WR,4.96,6.34,4.96,4900,3400,16,1,1,1,1,1,1,4,#FFFCF8,3.75,#FFFBF5,6.5,#E6E6FA
K.J. Hamler,DEN,WR,5.17,6.34,5.17,,3000,11,1,1,0,1,1,1,3.5,#FFF1D9,,,4.75,#F8F8FD
Chris Conley,JAC,WR,5.09,6.3,5.09,4700,3000,14,1,1,1,1,1,1,3.5,#FFF1D9,3.75,#FFFBF5,5.75,#EEEEFB
Ty Johnson,NYJ,RB,5.53,6.25,5.53,4800,4000,10,1,1,1,1,1,1,5.75,#EEEEFB,5,#F3F3FC,6.5,#E6E6FA
Harrison Bryant,CLE,TE,5,6.15,5,4500,2500,10,1,1,1,1,1,1,2,#FFD07C,2,#FFD382,2.25,#FFD68B
New England D/ST,NE,DST,6.14,6.14,6.14,3700,2400,15,1,1,1,1,1,1,1.25,#FFC04D,2,#FFD382,4,#FFFCF8
Los Angeles Chargers D/ST,LAC,DST,6.06,6.06,6.06,3900,2600,13,1,1,1,1,1,1,2.5,#FFDB9B,2.25,#FFD893,3.75,#FFF7E9
Ito Smith,ATL,RB,5.39,6.03,5.39,5500,4700,14,1,1,1,1,1,1,7.5,#DCDCF8,6,#E8E8FA,7.25,#DEDEF8
Isaiah McKenzie,BUF,WR,4.74,6,4.74,,3000,10,1,1,1,1,0,1,3.75,#FFF7E9,,,4.5,#FAFAFE
Los Angeles Rams D/ST,LA,DST,5.99,5.99,5.99,4500,3200,16,1,1,1,1,1,1,3.5,#FFF1D9,4,#FDFDFE,4.75,#F8F8FD
Malcolm Brown,LA,RB,5.17,5.99,5.17,5200,4000,13,1,1,1,1,1,1,6,#EBEBFB,5.75,#EBEBFB,7.5,#DCDCF8
Benny Snell Jr.,PIT,RB,5.69,5.87,5.69,,5400,17,1,1,1,1,1,1,9.25,#C9C9F4,,,8.25,#D4D4F6
Tennessee D/ST,TEN,DST,5.8,5.8,5.8,3900,2900,12,1,1,1,1,1,1,3.75,#FFF7E9,2.5,#FFDEA3,3.5,#FFF1D9
Kendrick Bourne,SF,WR,4.7,5.77,4.7,,3900,10,1,1,1,1,1,1,6,#EBEBFB,,,4.5,#FAFAFE
Gerald Everett,LA,TE,4.64,5.73,4.64,4800,3200,10,1,1,1,1,1,1,4,#FFFCF8,3.25,#FFF0D4,2.5,#FFDB9B
Washington D/ST,WSH,DST,5.71,5.71,5.71,,2700,12,1,1,1,1,1,1,2.75,#FFE1AB,,,3.5,#FFF1D9
Will Dissly,SEA,TE,4.68,5.71,4.68,4500,3300,10,1,1,1,1,1,1,4.25,#FDFDFE,2.5,#FFDEA3,2.5,#FFDB9B
James Washington,PIT,WR,4.67,5.66,4.67,,3300,10,1,1,1,1,1,1,4.5,#FAFAFE,,,4.5,#FAFAFE
Mecole Hardman,KC,WR,4.71,5.62,4.71,,3400,11,1,1,1,1,1,1,4.75,#F8F8FD,,,5.25,#F3F3FC
Demarcus Robinson,KC,WR,4.59,5.61,4.59,,3800,11,1,1,1,1,1,1,6,#EBEBFB,,,5.25,#F3F3FC
Chris Herndon,NYJ,TE,4.39,5.56,4.39,4500,2500,10,1,1,1,1,1,1,2.75,#FFE1AB,2.75,#FFE4B3,2.75,#FFE1AB
