PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Pharaoh Brown,HOU,TE,2.16,2.65,2.16,4200,2500,10,1,1,1,1,1,1,6,#EDEDFB,4,#FFFFFF,4.5,#FBFBFE
Van Jefferson,LA,WR,2.11,2.64,2.11,4800,3000,10,1,1,1,1,1,1,6,#EDEDFB,6.5,#E4E4FA,6.5,#E7E7FA
Kaden Smith,NYG,TE,2.02,2.63,2.02,4000,2500,10,1,1,1,1,1,1,6,#EDEDFB,3.5,#FFF3DF,4.75,#F8F8FD
Laquon Treadwell,ATL,WR,2.08,2.63,2.08,4700,3000,10,1,1,1,1,1,1,6,#EDEDFB,6.5,#E4E4FA,6.5,#E7E7FA
Rico Dowdle,DAL,RB,2.35,2.63,2.35,4700,4000,10,1,1,1,1,1,1,8.75,#D1D1F6,7,#DFDFF9,9.25,#CBCBF4
Taysom Hill,NO,QB,2.1,2.63,2.1,7700,5600,26,1,1,1,1,1,1,18.25,#7171E3,20,#5555DE,18.75,#6969E1
Jalen Richard,LV,RB,2.1,2.6,2.1,4600,4000,10,1,1,1,1,1,1,9,#CECEF5,7.5,#DADAF8,9.5,#C8C8F4
Kyle Juszczyk,SF,RB,2.11,2.59,2.11,4500,4000,10,1,1,1,1,1,1,9,#CECEF5,7.25,#DCDCF8,9.5,#C8C8F4
James O'Shaughnessy,JAC,TE,1.99,2.55,1.99,4100,2500,10,1,1,1,1,1,1,6,#EDEDFB,3.5,#FFF3DF,4.75,#F8F8FD
Anthony McFarland Jr.,PIT,RB,2.3,2.53,2.3,5100,4100,10,1,1,0,1,1,1,9,#CECEF5,8.5,#CFCFF5,9.25,#CBCBF4
Theo Riddick,LV,RB,1.91,2.41,1.91,,4000,10,1,1,1,1,1,1,9,#CECEF5,,,9.75,#C5C5F3
DeSean Jackson,PHI,WR,2.06,2.4,2.06,4500,3000,16,1,1,1,1,1,1,6.25,#EAEAFB,5.75,#ECECFB,8.25,#D5D5F7
Maxx Williams,ARI,TE,1.92,2.4,1.92,4200,2500,10,1,1,1,1,1,1,6.25,#EAEAFB,4.25,#FCFCFE,4.75,#F8F8FD
Malcolm Perry,MIA,RB,1.91,2.39,1.91,4500,3000,10,1,1,1,1,1,1,7.5,#DEDEF8,7.5,#DADAF8,9.75,#C5C5F3
Joshua Kelley,LAC,RB,2.01,2.31,2.01,4900,4000,10,1,1,1,1,1,1,9.25,#CCCCF5,8.75,#CCCCF5,9.5,#C8C8F4
Adam Shaheen,MIA,TE,1.86,2.3,1.86,4600,2700,10,1,1,1,1,1,1,7.5,#DEDEF8,5.5,#EFEFFC,4.75,#F8F8FD
